conf-libpng|conf-libpng.1|yes|yes|Virtual package relying on a libpng system installation
conf-libportmidi|conf-libportmidi.1|yes|yes|Virtual package relying on libportmidi
conf-librsvg2|conf-librsvg2.0|yes|yes|Virtual package relying on Librsvg2 system installation
conf-libsamplerate|conf-libsamplerate.2|no|no|Virtual package relying on libsamplerate
conf-libseccomp|conf-libseccomp.1|yes|yes|Virtual package relying on a libseccomp system installation
conf-libsodium|conf-libsodium.1|yes|yes|Virtual package relying on a libsodium system installation
conf-libspeex|conf-libspeex.1|yes|yes|Virtual package relying on libspeex
conf-libssl|conf-libssl.4|yes|yes|Virtual package relying on an OpenSSL library system installation
conf-libsvm|conf-libsvm.3|no|yes|Virtual package relying on libsvm library installation
conf-libsvm-tools|conf-libsvm-tools.1.0.0|no|yes|Virtual package relying on libsvm-tools installation
conf-libtheora|conf-libtheora.1|yes|yes|Virtual package relying on libtheora
conf-libtool|conf-libtool.1|no|yes|Virtual package relying on libtool installation
conf-libudev|conf-libudev.1|yes|yes|Virtual package relying on a libudev system installation
conf-liburing|conf-liburing.0.1.0|no|yes|Virtual package for system installation of liburing
conf-libuv|conf-libuv.1|yes|yes|Virtual package relying on a libuv system installation
conf-libvorbis|conf-libvorbis.1|yes|yes|Virtual package relying on libvorbis
conf-libwayland|conf-libwayland.1|yes|yes|Virtual package relying on libwayland
conf-libxcb|conf-libxcb.1|yes|yes|Virtual package relying on xcb
conf-libxcb-image|conf-libxcb-image.1|yes|yes|Virtual package relying on xcb-image
conf-libxcb-keysyms|conf-libxcb-keysyms.1|yes|yes|Virtual package relying on xcb-shm
conf-libxcb-shm|conf-libxcb-shm.1|yes|yes|Virtual package relying on xcb-shm
conf-libxcb-xkb|conf-libxcb-xkb.1|yes|yes|Virtual package relying on xcb-xkb
conf-libxcursor|conf-libxcursor.1|yes|yes|Virtual package relying on an libXcursor system installation
conf-libxi|conf-libxi.1|yes|yes|Virtual package relying on an libXi system installation
conf-libxinerama|conf-libxinerama.1|yes|yes|Virtual package relying on an libXinerama system installation
conf-libxrandr|conf-libxrandr.1|yes|yes|Virtual package relying on an libXRandR system installation
conf-lilv|conf-lilv.1|no|yes|Virtual package relying on lilv
conf-linux-libc-dev|conf-linux-libc-dev.0|no|yes|synopsis:
conf-lld|conf-lld.1|no|yes|Virtual package relying on lld installation
conf-lldb|conf-lldb.3.5|no|yes|synopsis:
conf-llvm|conf-llvm.17|no|yes|Virtual package relying on llvm library installation
conf-llvm-shared|conf-llvm-shared.18|no|yes|Virtual package relying on llvm shared library installation
conf-llvm-static|conf-llvm-static.18|no|yes|Virtual package relying on llvm static library installation
conf-lua|conf-lua.1|yes|yes|Virtual package relying on a Lua system installation
conf-lz4|conf-lz4.1.0.0|no|yes|Virtual package requiring the lz4 command to be available
conf-m4|conf-m4.1|no|yes|Virtual package relying on m4
conf-mad|conf-mad.2|yes|yes|Virtual package relying on mad
conf-mariadb|conf-mariadb.2|yes|yes|synopsis:
conf-mbedtls|conf-mbedtls.2|no|yes|Virtual package relying on an mbedtls system installation
conf-mecab|conf-mecab.0.996|no|yes|Virtual package relying on MeCab library installation
conf-mesa|conf-mesa.1|yes|yes|Virtual package relying on an mesa system installation
conf-mingw-w64-allegro5-i686|conf-mingw-w64-allegro5-i686.1|yes|yes|allegro5 for i686 mingw-w64
conf-mingw-w64-allegro5-x86_64|conf-mingw-w64-allegro5-x86_64.1|yes|yes|allegro5 for x86_64 mingw-w64
conf-mingw-w64-curl-i686|conf-mingw-w64-curl-i686.1|yes|yes|libcurl for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-curl-x86_64|conf-mingw-w64-curl-x86_64.1|yes|yes|libcurl for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-g++-i686|conf-mingw-w64-g++-i686.1|no|yes|Virtual package for g++ on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-g++-x86_64|conf-mingw-w64-g++-x86_64.1|no|yes|Virtual package for g++ on x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-gcc-i686|conf-mingw-w64-gcc-i686.1|no|yes|Virtual package for GCC on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-gcc-x86_64|conf-mingw-w64-gcc-x86_64.1|no|yes|Virtual package for GCC on x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-glade-i686|conf-mingw-w64-glade-i686.1|yes|yes|glade for i686 mingw-w64
conf-mingw-w64-glade-x86_64|conf-mingw-w64-glade-x86_64.1|yes|yes|glade for x86_64 mingw-w64
conf-mingw-w64-gmp-i686|conf-mingw-w64-gmp-i686.1|yes|yes|Virtual package for libgmp on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-gmp-x86_64|conf-mingw-w64-gmp-x86_64.1|yes|yes|Virtual package for libgmp on x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-gnutls-i686|conf-mingw-w64-gnutls-i686.1|yes|yes|GnuTLS for i686 mingw-w64
conf-mingw-w64-gnutls-x86_64|conf-mingw-w64-gnutls-x86_64.1|yes|yes|GnuTLS for x86_64 mingw-w64
conf-mingw-w64-libevent-i686|conf-mingw-w64-libevent-i686.1|yes|yes|Libevent for i686 mingw-w64
conf-mingw-w64-libevent-x86_64|conf-mingw-w64-libevent-x86_64.1|yes|yes|Libevent for x86_64 mingw-w64
conf-mingw-w64-libffi-i686|conf-mingw-w64-libffi-i686.1|yes|yes|libffi for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-libffi-x86_64|conf-mingw-w64-libffi-x86_64.1|yes|yes|libffi for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-mbedtls-x86_64|conf-mingw-w64-mbedtls-x86_64.1|yes|yes|Libmbedtls for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-ncurses-i686|conf-mingw-w64-ncurses-i686.1|yes|yes|ncurses for i686 mingw-w64
conf-mingw-w64-ncurses-x86_64|conf-mingw-w64-ncurses-x86_64.1|yes|yes|ncurses for x86_64 mingw-w64
conf-mingw-w64-nettle-i686|conf-mingw-w64-nettle-i686.1|yes|yes|Nettle for i686 mingw-w64
