conf-libportmidi|conf-libportmidi.1|pkgcfg=yes|deb=libportmidi-dev|brew=portmidi|Virtual package relying on libportmidi
conf-librsvg2|conf-librsvg2.0|pkgcfg=yes|deb=librsvg2-dev|brew=librsvg|Virtual package relying on Librsvg2 system installation
conf-libseccomp|conf-libseccomp.1|pkgcfg=yes|deb=libseccomp-dev|brew=|Virtual package relying on a libseccomp system installation
conf-libsodium|conf-libsodium.1|pkgcfg=yes|deb=libsodium-dev|brew=libsodium|Virtual package relying on a libsodium system installation
conf-libspeex|conf-libspeex.1|pkgcfg=yes|deb=libspeex-dev|brew=speex|Virtual package relying on libspeex
conf-libssl|conf-libssl.4|pkgcfg=yes|deb=libssl-dev|brew=|Virtual package relying on an OpenSSL library system installation
conf-libsvm|conf-libsvm.3|pkgcfg=no|deb=libsvm-dev|brew=sh|Virtual package relying on libsvm library installation
conf-libtheora|conf-libtheora.1|pkgcfg=yes|deb=libtheora-dev|brew=theora|Virtual package relying on libtheora
conf-libtool|conf-libtool.1|pkgcfg=no|deb=libtool|brew=libtool|Virtual package relying on libtool installation
conf-libudev|conf-libudev.1|pkgcfg=yes|deb=libudev-dev|brew=|Virtual package relying on a libudev system installation
conf-liburing|conf-liburing.0.1.0|pkgcfg=no|deb=|brew=|Virtual package for system installation of liburing
conf-libuv|conf-libuv.1|pkgcfg=yes|deb=libuv1-dev|brew=libuv|Virtual package relying on a libuv system installation
conf-libvorbis|conf-libvorbis.1|pkgcfg=yes|deb=libvorbis-dev|brew=libvorbis|Virtual package relying on libvorbis
conf-libwayland|conf-libwayland.1|pkgcfg=yes|deb=libwayland-dev|brew=|Virtual package relying on libwayland
conf-libxcb|conf-libxcb.1|pkgcfg=yes|deb=libxcb1-dev|brew=libxcb|Virtual package relying on xcb
conf-libxcb-image|conf-libxcb-image.1|pkgcfg=yes|deb=libxcb-image0-dev|brew=xcb-util-image|Virtual package relying on xcb-image
conf-libxcb-keysyms|conf-libxcb-keysyms.1|pkgcfg=yes|deb=libxcb-keysyms1-dev|brew=xcb-util-keysyms|Virtual package relying on xcb-shm
conf-libxcb-shm|conf-libxcb-shm.1|pkgcfg=yes|deb=libxcb-shm0-dev|brew=libxcb|Virtual package relying on xcb-shm
conf-libxcb-xkb|conf-libxcb-xkb.1|pkgcfg=yes|deb=libxcb-xkb-dev|brew=libxcb|Virtual package relying on xcb-xkb
